pl_name,period,radius,depth,star_temp,star_radius,insolation,label_raw,source,label,log_period,log_insolation,radius_star_ratio,density_proxy,planet_temp_estimate
EPIC 201324549.01,2.5194039,7.65729,0.1935,6380.0,1.76,219.344,FALSE POSITIVE,K2,0.0,1.2582916286783437,5.395189961509509,4.350732954545454,4.135644791172651,11923.756983268526
EPIC 201683540.01,1.96133691104,15.86577929,0.92350385,4427.0,1.06738,533.383,CANDIDATE,K2,-1.0,1.0856408255038188,6.281112810339198,14.864227632146003,10.12573616946767,7302.607416218054
EPIC 202126884.01,5.31937553733,19.66846395,0.6537084,6350.0,2.36934,1968.9003,CANDIDATE,K2,-1.0,1.8436203958925013,7.585738211314292,8.301241674896808,6.454510965410918,9476.371867988577
EPIC 205947161.01,17.7256773,15.4613,0.286,6010.0,1.63,39.274,CANDIDATE,K2,-1.0,2.9298956996436583,3.695706099456214,9.485460122699386,2.274280955111964,4075.227488553857
EPIC 206061524.01,5.87672094142,8.02139241,1.01673987,4111.0,0.807445,55.0761,CANDIDATE,K2,-1.0,1.9281419309801235,4.0267096967988,9.934289530556262,2.463162422112104,3407.3866651866033
EPIC 208833261.01,3.47323985883,16.65896453,1.03382193,7406.97,1.56373,2304.5286,CANDIDATE,K2,-1.0,1.4981129467174605,7.743065256688013,10.653350981307513,7.263704242190701,11113.198809606542
EPIC 210463428.01,4.72048898787,14.61863458,4.71105706,3553.0,0.489916,18.2092,CANDIDATE,K2,-1.0,1.744054289127728,2.9553893309367143,29.839063390458772,5.194959319103796,2559.4551684209673
EPIC 210550063.01,2.16595219375,2.91081826,0.04312815,6194.54,1.30635,1867.8804,CANDIDATE,K2,-1.0,1.1524538614553654,7.533094813968751,2.228207034868144,1.7387981901085654,10757.204013958346
EPIC 210754505.01,0.8706763,6.52133,0.1861,6121.0,1.47,1486.34,FALSE POSITIVE,K2,0.0,0.626300023238104,7.304744568609258,4.436278911564626,7.152068995623003,17784.337335761527
EPIC 210775710.01,59.847399221,11.75567728,1.13927508,5765.3,1.09215,0.4688,CANDIDATE,K2,-1.0,4.108369077698429,0.38444574088408895,10.763793691342766,0.7683353244574744,1741.5077725617436
EPIC 211147528.01,2.3494903,14.6551,0.9053,7418.5,1.51,1355.37,CANDIDATE,K2,-1.0,1.2088081850073717,7.212567292637384,9.705364238410596,8.292261996785516,13298.502787626649
EPIC 211309648.01,3.1393667,15.9004,1.1087,5653.4,1.52,963.197,CANDIDATE,K2,-1.0,1.4205428051214712,6.871295630579002,10.46078947368421,7.416175836126879,8796.207932794094
EPIC 211393988.01,4.8740385,14.3194,0.641,6504.4,1.8,819.404,CANDIDATE,K2,-1.0,1.7705423870620651,6.709796901856744,7.955222222222222,4.981179407080043,8838.610955068887
EPIC 211642882.01,23.89959501695,12.83075359,1.59987683,4736.5,0.76962,12.1501,CANDIDATE,K2,-1.0,3.2148515389588774,2.5764293631575965,16.671543865803905,1.546411735078217,1900.5768956600964
EPIC 211705502.01,2.5840753,7.01829,0.1757,6119.0,1.4,1881.65,FALSE POSITIVE,K2,0.0,1.276500504936619,7.540435637774565,5.013064285714286,3.7270155063988053,10071.09959423018
EPIC 211724246.01,4.7464485,10.3209,0.194,5890.5,2.26,281.823,CANDIDATE,K2,-1.0,1.748582011809662,5.644821260276876,4.566769911504426,3.6543072100902054,9088.809390546074
EPIC 211812935.01,3.6079916,15.3816,0.6055,5308.3,1.89,378.206,CANDIDATE,K2,-1.0,1.527792100475262,5.938079593040498,8.138412698412699,6.538696326768584,8590.898827940648
EPIC 212036875.01,5.1699026,9.23587,0.311,6283.4,1.48,562.184,CANDIDATE,K2,-1.0,1.819683051731107,6.333606395349378,6.240452702702703,3.0890355324868275,7517.429899876027
EPIC 212040382.01,4.4455436,15.8181,0.5839,6355.8,2.11,905.997,CANDIDATE,K2,-1.0,1.6947975861125144,6.81013914250217,7.496729857819905,5.850653804905555,9791.157022822268
EPIC 214888033.01,7.46475831483,11.93024915,1.05838259,5357.0,1.15577,185.3324,CANDIDATE,K2,-1.0,2.1359114640646903,5.227532175529901,10.32233848430051,3.123482037235198,4713.401998751138
EPIC 216231580.01,3.90723655504,15.34164425,1.7049263,5500.0,1.17027,488.9674,CANDIDATE,K2,-1.0,1.5907109636164884,6.194338858279168,13.109491185794733,6.18432214654821,6730.632448856996
EPIC 218621322.01,11.5843558517,5.49928933,0.2500558,5631.0,1.09295,42.5453,CANDIDATE,K2,-1.0,2.5324544434632785,3.773801775545704,5.0316019305549196,1.0741344432853737,3867.539267176637
EPIC 219388192.01,5.29136017752,11.52204139,1.12532759,5555.0,1.03676,263.0773,CANDIDATE,K2,-1.0,1.8391772917736824,5.576241863318177,11.113508806281107,3.7944707959350126,5498.250465806888
EPIC 220192485.01,50.6939885,8.48837,1.12,5216.0,0.78,2.9319,CANDIDATE,K2,-1.0,3.9453414981579913,1.3691227696115633,10.88252564102564,0.6197073690799509,1446.743884523454
EPIC 220198551.01,0.7988525,4.00703,0.17,4785.0,0.86,512.916,CANDIDATE,K2,-1.0,0.5871489616125913,6.242059827975474,4.659337209302326,4.654198067534821,11101.53086153106
EPIC 220209578.01,8.90003342005,15.12617706,2.21632826,5854.0,1.0044,144.377,CANDIDATE,K2,-1.0,2.2925381328974725,4.97933036826784,15.059913440860216,3.5220978839686135,4397.392724785843
EPIC 220228500.01,2.5048178,3.9467,0.1723,5328.0,0.92,448.655,CANDIDATE,K2,-1.0,1.254138536253799,6.108480622058513,4.289891304347826,2.139850118416029,7220.296989260198
