pl_name,period,radius,depth,star_temp,star_radius,insolation,label_raw,source,label,log_period,log_insolation,radius_star_ratio,density_proxy,planet_temp_estimate
K2-284 b,4.7948642,3.3985,0.228,4072.0,0.65,118.638,CONFIRMED,K2,1.0,1.7569720425223117,4.784470516804902,5.228461538461538,1.1951884837821705,3352.4421627066504
K2-285 b,3.471745,2.59,0.097,4975.0,0.787,234.31,CONFIRMED,K2,1.0,1.4977787127601072,5.460903793767789,3.2909783989834813,1.1296256667099525,5296.531311891474
K2-285 c,7.1385672,3.60516,0.2064,5144.5,0.77,63.7967,CONFIRMED,K2,1.0,2.0966141448651516,4.1712546761355345,4.682025974025974,0.9724124466023087,3778.052688097168
K2-285 d,10.45582,2.48,0.1,4975.0,0.787,24.61,CONFIRMED,K2,1.0,2.4384978978043477,3.242982900211434,3.1512071156289707,0.5186562496817134,3052.0131771429637
K2-285 e,14.76289,1.95,0.068,4975.0,0.787,10.5,CONFIRMED,K2,1.0,2.7576584432529945,2.4423470353692043,2.4777636594663277,0.32403134401978756,2568.5011324210764
K2-29 b,3.25883164155,12.87148683,2.27432338,5387.06,0.817114,284.4142,CONFIRMED,K2,1.0,1.4489948601174802,5.653941458535214,15.752375837398453,5.855816158239966,6031.8034088449995
K2-291 b,2.2251639,1.50436,0.0284,5509.0,0.92,348.601,CONFIRMED,K2,1.0,1.1709837706617832,5.856792504189189,1.6351739130434781,0.8826267933621738,7920.829873342842
K2-295 b,4.0248735,11.6786,2.3775,4492.0,0.75,97.8595,CONFIRMED,K2,1.0,1.6144002794989125,4.59369965020873,15.571466666666666,4.61554114683064,4335.900064275305
K2-3 b,10.05460031054,2.11286662,0.132102,3920.0,0.550856,11.5486,CONFIRMED,K2,1.0,2.4028466590235222,2.529609105570346,3.835606074908869,0.45355386742137344,2051.6709331006095
K2-30 b,4.09847409321,14.83669218,1.68699465,5198.0,1.06395,319.8755,CONFIRMED,K2,1.0,1.6289412975520012,5.77105319742928,13.94491487381926,5.7932502658511345,5922.032543844788
